URL,Estado,Tipo de Propiedad,Precio,Tamaño de la propiedad,Parqueos,Dormitorios,Baños,ID de la propiedad,Ciudad,Área,Sub-Sector/Proyecto,Google Maps
https://mapainmueble.com/properties/renta-de-apartamento-en-zona-14-santa-ines-del-parque-de-2-dormitorios-daa43462/,Alquiler,Apartamento,"$ 2,200",152 m²,2,2,2.5,DAA43462,"*Guatemala, Ciudad",Zona 14,Santa Inés del Parque,https://maps.google.com/?q=zona+14%2C+Guatemala%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-santa-ines-del-parque-daa42948/,Alquiler,Apartamento,"$ 2,200",150 m²,2,2,2.5,DAA42948,"*Guatemala, Ciudad",Zona 14,Santa Inés del Parque,https://maps.google.com/?q=zona+14%2C+Guatemala%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-alquiler-zona-14-santa-ines-de-3-habitaciones-amueblado-daa42144/,Alquiler,Apartamento,"$ 3,499",252 m²,3,3,3.5,DAA42144,"*Guatemala, Ciudad",Zona 14,Santa Inés,https://maps.google.com/?q=zona+14%2C+Guatemala%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-alquiler-santa-ines-zona-14-amueblado-de-3-dormitorios-daa41616/,Alquiler,Apartamento,"$ 3,499",252 m²,3,3,3.5,DAA41616,"*Guatemala, Ciudad",Zona 14,Santa Inés,https://maps.google.com/?q=zona+14%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-en-edificio-tadeus-zona-14-ciudad-de-guatemala-caa13501/,Alquiler,Apartamento,"$ 2,200",295 m²,2,2,2,CAA13501,"*Guatemala, Ciudad",Zona 14,Tadeus,https://maps.google.com/?q=Edificio+Tadeus%2C+zona+14.%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/exclusivo-apartamento-en-renta-tiffany-zona-14-caa13500/,Alquiler,Apartamento,"$ 3,200",202 m²,3,3,2.5,CAA13500,"*Guatemala, Ciudad",Zona 14,Tiffany Cañada,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-alquiler-attica-2-daa43655/,Alquiler,Apartamento,"$ 1,500",193 m²,2,2,3.5,DAA43655,"*Guatemala, Ciudad",Zona 14,Attica II,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/alquiler-apartamento-zona-14-amueblado-daa43643/,Alquiler,Apartamento,"$ 1,800",125 m²,2,2,2,DAA43643,"*Guatemala, Ciudad",Zona 14,No disponible,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-zona-14-santa-ines-del-parque-daa43641/,Alquiler,Apartamento,"$ 2,200",160 m²,2,2,2.5,DAA43641,"*Guatemala, Ciudad",Zona 14,Santa Inés del Parque,https://maps.google.com/?q=ZONA+14%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43639/,Alquiler,Apartamento,"$ 2,200",295 m²,2,2,2.5,DAA43639,"*Guatemala, Ciudad",Zona 14,Tadeus,https://maps.google.com/?q=ZONA+14%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-en-tadeus-zona-14-daa43636/,Alquiler,Apartamento,"$ 2,800",295 m²,2,2,2.5,DAA43636,"*Guatemala, Ciudad",Zona 14,Tadeus,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43631/,Alquiler,Apartamento,"$ 2,200",295 m²,2,2,2.5,DAA43631,"*Guatemala, Ciudad",Zona 14,Tadeus,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-tadeus-zona-14-daa43629/,Alquiler,Apartamento,"$ 2,700",295 m²,2,2,2.5,DAA43629,"*Guatemala, Ciudad",Zona 14,Tadeus,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/renta-apartamento-benevento-daa43626/,Alquiler,Apartamento,$ 900,96 m²,2,1,1,DAA43626,"*Guatemala, Ciudad",Zona 14,Benevento,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-echo-zona-14-daa43616/,Alquiler,Apartamento,"$ 2,500",145 m²,2,2,2.5,DAA43616,"*Guatemala, Ciudad",Zona 14,Echo,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-y-venta-zona-14-daa43607/,Alquiler,Apartamento,"$ 2,500",146 m²,2,2,2.5,DAA43607,"*Guatemala, Ciudad",Zona 14,Echo,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-codigoca34654-caa13491/,Alquiler,Apartamento,$ 900,70 m²,2,2,1,CAA13491,"*Guatemala, Ciudad",Zona 14,No disponible,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-zona-14-area-de-las-americas-daa43589/,Alquiler,Apartamento,"$ 2,200",160 m²,2,2,2.5,DAA43589,"*Guatemala, Ciudad",Zona 14,No disponible,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-zona-14-area-de-las-americas-daa43589/,Alquiler,Apartamento,"$ 2,200",160 m²,2,2,2.5,DAA43589,"*Guatemala, Ciudad",Zona 14,No disponible,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-tiffany-5taavenida-daa43586/,Alquiler,Apartamento,"$ 1,850",125 m²,2,2,2,DAA43586,"*Guatemala, Ciudad",Zona 14,Tiffany 5ta Avenida,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-zona-14-en-renta-daa43582/,Alquiler,Apartamento,"$ 2,200",195 m²,2,2,2.5,DAA43582,"*Guatemala, Ciudad",Zona 14,Santa Inés del Parque,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-alquiler-parque-14-daa43570/,Alquiler,Apartamento,"$ 1,200",102 m²,2,3,2,DAA43570,"*Guatemala, Ciudad",Zona 14,Parque Las Americas,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apto-en-renta-en-santa-ines-del-parque-zona-14-daa43567/,Alquiler,Apartamento,"$ 2,200",160 m²,2,2,2.5,DAA43567,"*Guatemala, Ciudad",Zona 14,Santa Inés del Parque,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-zona-14-daa43564/,Alquiler,Apartamento,"$ 2,200",160 m²,2,2,2.5,DAA43564,"*Guatemala, Ciudad",Zona 14,Santa Inés,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/rento-apto-2-hab-z14-edif-santorini-europlaza-ref6716-92m2-2-hab-2-banos-2-parqueos-linea-blanca-750-caa13484/,Alquiler,Apartamento,$ 750,96 m²,2,2,2,CAA13484,"*Guatemala, Ciudad",Zona 14,No disponible,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/alquiler-de-apartamento-de-3-dormitorios-attica-zona-14-daa42956/,Alquiler,Apartamento,"$ 1,625",139 m²,2,3,3,DAA42956,"*Guatemala, Ciudad",Zona 14,Attica,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/se-renta-increible-pent-house-en-avita-zona-14-daa43560/,Alquiler,Apartamento,"$ 7,500",809 m²,4,4,5,DAA43560,"*Guatemala, Ciudad",Zona 14,Avita,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-zona-14-la-villa-daa43557/,Alquiler,Apartamento,"$ 1,000",106 m²,2,2,2,DAA43557,"*Guatemala, Ciudad",Zona 14,Segheria,https://maps.google.com/?q=zona+14.%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-amueblado-en-renta-zona-14-daa43545/,Alquiler,Apartamento,"$ 1,800",No disponible,2,2,2.5,DAA43545,"*Guatemala, Ciudad",Zona 14,No disponible,https://maps.google.com/?q=14%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-alquiler-amueblado-zona-14-daa43541/,Alquiler,Apartamento,$ 900,120 m²,2,2,2,DAA43541,"*Guatemala, Ciudad",Zona 14,Santorini,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/zona-14-cerca-europlaza-daa43533/,Alquiler,Apartamento,$ 875,72 m²,1,1,1,DAA43533,"*Guatemala, Ciudad",Zona 14,Almeira,https://maps.google.com/?q=A+2+cuadras+de+Europlaza+y+1+cuadra+de+La+Noria+centro+comercial.+Cerca+de+todo.%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-garces-de-la-villa-la-villa-zona-14-de-3-habitaciones-agt1888-daa27200/,Alquiler,Apartamento,$ 805,89 m²,2,3,2,DAA27200,"*Guatemala, Ciudad",Zona 14,Garcés de La Villa,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/en-venta-o-renta-apartamento-de-3-habitaciones-en-la-villa-zona-14-daa43530/,Alquiler,Apartamento,"$ 1,150",88 m²,2,3,2,DAA43530,"*Guatemala, Ciudad",Zona 14,Be14,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-renta-en-santa-ines-del-parque-zona-14-daa43526/,Alquiler,Apartamento,"$ 2,200",159 m²,2,2,2,DAA43526,"*Guatemala, Ciudad",Zona 14,Santa Inés del Parque,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/renta-de-apartamento-amueblado-en-zona-14-daa43516/,Alquiler,Apartamento,"$ 1,100",90 m²,1,2,2,DAA43516,"*Guatemala, Ciudad",Zona 14,No disponible,https://maps.google.com/?q=PAA-003-06-21%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-en-alquiler-edificio-antiguo-zona-14-caa13474/,Alquiler,Apartamento,"$ 1,000",175 m²,2,2,2.5,CAA13474,"*Guatemala, Ciudad",Zona 14,No disponible,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-amueblado-en-renta-edificio-zona-14-daa43494/,Alquiler,Apartamento,$ 950,No disponible,No disponible,1,1.5,DAA43494,"*Guatemala, Ciudad",Zona 14,No disponible,https://maps.google.com/?q=%2C%2AGuatemala%2C+Ciudad
https://mapainmueble.com/properties/apartamento-elegante-edif-villa-risho-zona-14-daa43492/,Alquiler,Apartamento,"$ 2,200",200 m²,2,2,2.5,DAA43492,"*Guatemala, Ciudad",Zona 14,Villa Risho,https://maps.google.com/?q=Edificio+villa+risho+zona+14%2C%2AGuatemala%2C+Ciudad
